"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"07.03.2024","3.371,76","3.365,20","3.372,40","3.365,20","","0,20%"
"06.03.2024","3.365,18","3.366,97","3.371,46","3.363,93","","-0,05%"
"05.03.2024","3.366,96","3.364,84","3.369,39","3.364,84","","0,06%"
"04.03.2024","3.364,83","3.366,47","3.368,53","3.363,68","","-0,05%"
"01.03.2024","3.366,50","3.359,99","3.367,96","3.359,64","","0,19%"
"29.02.2024","3.360,00","3.343,32","3.360,64","3.343,32","","0,50%"
"28.02.2024","3.343,32","3.346,00","3.349,26","3.339,91","","-0,08%"
"27.02.2024","3.346,00","3.352,02","3.354,39","3.342,76","","-0,18%"
"26.02.2024","3.352,02","3.363,29","3.363,65","3.350,24","","-0,33%"
"23.02.2024","3.363,24","3.354,50","3.363,39","3.354,50","","0,26%"
"22.02.2024","3.354,50","3.356,04","3.360,35","3.353,55","","-0,05%"
"21.02.2024","3.356,04","3.357,63","3.362,20","3.354,76","","-0,05%"
"20.02.2024","3.357,64","3.357,03","3.360,73","3.355,47","","0,02%"
"19.02.2024","3.357,03","3.350,11","3.358,61","3.350,09","","0,21%"
"16.02.2024","3.350,11","3.349,19","3.358,16","3.349,19","","0,03%"
"15.02.2024","3.349,19","3.342,91","3.350,61","3.342,91","","0,19%"
"14.02.2024","3.342,91","3.351,99","3.352,21","3.342,90","","-0,27%"
"09.02.2024","3.351,99","3.339,78","3.354,26","3.339,78","","0,37%"
"08.02.2024","3.339,78","3.340,69","3.346,71","3.339,65","","-0,03%"
"07.02.2024","3.340,69","3.332,48","3.341,37","3.332,48","","0,25%"
"06.02.2024","3.332,48","3.327,93","3.333,96","3.325,67","","0,14%"
"05.02.2024","3.327,93","3.332,90","3.334,40","3.326,21","","-0,15%"
"02.02.2024","3.332,88","3.320,47","3.333,28","3.320,47","","0,37%"
"01.02.2024","3.320,47","3.333,51","3.335,35","3.317,51","","-0,39%"
"31.01.2024","3.333,51","3.327,55","3.334,97","3.327,15","","0,18%"
"30.01.2024","3.327,55","3.329,25","3.331,73","3.325,31","","-0,05%"
"29.01.2024","3.329,25","3.331,58","3.333,20","3.328,42","","-0,07%"
"26.01.2024","3.331,59","3.324,32","3.331,96","3.324,20","","0,22%"
"25.01.2024","3.324,32","3.324,42","3.328,38","3.323,48","","0,00%"
"24.01.2024","3.324,42","3.330,05","3.331,76","3.322,94","","-0,17%"
"23.01.2024","3.330,06","3.334,06","3.335,61","3.326,36","","-0,12%"
"22.01.2024","3.334,06","3.340,16","3.341,03","3.332,58","","-0,18%"
"19.01.2024","3.340,16","3.329,82","3.340,20","3.329,60","","0,31%"
"18.01.2024","3.329,82","3.332,50","3.336,77","3.327,26","","-0,08%"
"17.01.2024","3.332,51","3.334,51","3.338,28","3.330,38","","-0,06%"
"16.01.2024","3.334,51","3.332,16","3.336,84","3.329,81","","0,07%"
"15.01.2024","3.332,17","3.325,70","3.333,99","3.325,70","","0,19%"
"12.01.2024","3.325,70","3.318,09","3.329,10","3.318,09","","0,23%"
"11.01.2024","3.318,09","3.324,85","3.325,63","3.315,46","","-0,20%"
"10.01.2024","3.324,85","3.324,90","3.326,81","3.319,50","","0,00%"
"09.01.2024","3.324,90","3.327,09","3.328,46","3.321,73","","-0,07%"
"08.01.2024","3.327,10","3.324,23","3.328,89","3.324,08","","0,09%"
"05.01.2024","3.324,23","3.320,38","3.327,82","3.320,38","","0,12%"
"04.01.2024","3.320,38","3.324,41","3.326,10","3.318,83","","-0,12%"
"03.01.2024","3.324,41","3.314,09","3.325,70","3.314,09","","0,31%"
"02.01.2024","3.314,09","3.311,45","3.319,72","3.311,45","","0,08%"
"28.12.2023","3.311,43","3.298,60","3.314,39","3.298,60","","0,39%"
"27.12.2023","3.298,60","3.285,40","3.299,42","3.285,40","","0,40%"
"26.12.2023","3.285,40","3.260,50","3.285,74","3.260,48","","0,76%"
"22.12.2023","3.260,47","3.232,47","3.261,88","3.232,47","","0,87%"
"21.12.2023","3.232,47","3.212,55","3.233,21","3.212,55","","0,62%"
"20.12.2023","3.212,55","3.206,77","3.218,06","3.206,77","","0,18%"
"19.12.2023","3.206,75","3.197,51","3.208,11","3.197,51","","0,29%"
"18.12.2023","3.197,51","3.189,62","3.200,00","3.189,62","","0,25%"
"15.12.2023","3.189,62","3.184,22","3.197,87","3.184,22","","0,17%"
"14.12.2023","3.184,23","3.177,06","3.190,33","3.177,06","","0,23%"
"13.12.2023","3.177,05","3.169,67","3.177,09","3.169,67","","0,23%"
"12.12.2023","3.169,67","3.180,99","3.184,26","3.169,40","","-0,36%"
"11.12.2023","3.180,99","3.189,63","3.190,46","3.179,46","","-0,27%"
"08.12.2023","3.189,62","3.179,71","3.189,66","3.179,42","","0,31%"
"07.12.2023","3.179,69","3.191,27","3.194,70","3.178,26","","-0,36%"
"06.12.2023","3.191,27","3.189,91","3.196,06","3.188,90","","0,04%"
"05.12.2023","3.189,90","3.184,55","3.192,12","3.184,55","","0,17%"
"04.12.2023","3.184,55","3.175,07","3.187,09","3.175,07","","0,30%"
"01.12.2023","3.175,08","3.176,56","3.186,06","3.171,34","","-0,05%"
"30.11.2023","3.176,56","3.164,00","3.178,20","3.164,00","","0,40%"
"29.11.2023","3.164,00","3.167,50","3.171,23","3.161,63","","-0,11%"
"28.11.2023","3.167,49","3.159,19","3.170,00","3.159,19","","0,26%"
"27.11.2023","3.159,19","3.174,50","3.180,98","3.158,78","","-0,48%"
"24.11.2023","3.174,49","3.178,48","3.181,69","3.173,57","","-0,13%"
"23.11.2023","3.178,48","3.179,70","3.185,56","3.175,84","","-0,04%"
"22.11.2023","3.179,70","3.191,36","3.195,20","3.178,86","","-0,37%"
"21.11.2023","3.191,36","3.196,44","3.201,21","3.189,03","","-0,16%"
"20.11.2023","3.196,44","3.197,70","3.202,23","3.194,75","","-0,04%"
"17.11.2023","3.197,69","3.191,32","3.197,69","3.191,03","","0,20%"
"16.11.2023","3.191,32","3.184,41","3.192,28","3.184,41","","0,22%"
"14.11.2023","3.184,40","3.180,23","3.184,50","3.180,23","","0,13%"
"13.11.2023","3.180,24","3.182,18","3.187,11","3.178,76","","-0,06%"
"10.11.2023","3.182,18","3.177,75","3.183,96","3.177,75","","0,14%"
"09.11.2023","3.177,75","3.174,22","3.180,16","3.174,22","","0,11%"
